<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,Close,<VOL>
14/09/15,00:00:00,7.619.0000000,7.744.0000000,7.572.0000000,7.692.0000000,223.646
15/09/15,00:00:00,7.698.0000000,7.741.0000000,7.640.0000000,7.741.0000000,390.112
16/09/15,00:00:00,7.732.0000000,8.000.0000000,7.719.0000000,7.975.0000000,722.761
17/09/15,00:00:00,7.975.0000000,8.005.0000000,7.826.0000000,7.891.0000000,688.152
18/09/15,00:00:00,7.891.0000000,7.923.0000000,7.726.0000000,7.781.0000000,719.435
21/09/15,00:00:00,7.733.0000000,7.906.0000000,7.733.0000000,7.806.0000000,500.460
22/09/15,00:00:00,7.805.0000000,7.811.0000000,7.580.0000000,7.653.0000000,724.175
23/09/15,00:00:00,7.647.0000000,7.692.0000000,7.507.0000000,7.557.0000000,769.568
24/09/15,00:00:00,7.560.0000000,7.618.0000000,7.454.0000000,7.579.0000000,757.419
25/09/15,00:00:00,7.589.0000000,7.724.0000000,7.553.0000000,7.659.0000000,565.484
28/09/15,00:00:00,7.660.0000000,7.758.0000000,7.606.0000000,7.625.0000000,595.750
29/09/15,00:00:00,7.615.0000000,7.766.0000000,7.535.0000000,7.710.0000000,686.209
30/09/15,00:00:00,7.720.0000000,7.859.0000000,7.680.0000000,7.744.0000000,634.413
01/10/15,00:00:00,7.746.0000000,7.830.0000000,7.583.0000000,7.632.0000000,666.154
02/10/15,00:00:00,7.634.0000000,7.672.0000000,7.463.0000000,7.643.0000000,686.651
05/10/15,00:00:00,7.644.0000000,7.820.0000000,7.601.0000000,7.793.0000000,606.396
06/10/15,00:00:00,7.793.0000000,7.946.0000000,7.737.0000000,7.903.0000000,551.236
07/10/15,00:00:00,7.903.0000000,8.153.0000000,7.831.0000000,8.115.0000000,868.060
08/10/15,00:00:00,8.110.0000000,8.578.0000000,7.998.0000000,8.540.0000000,1.059.479
09/10/15,00:00:00,8.555.0000000,8.783.0000000,8.489.0000000,8.681.0000000,1.057.489
12/10/15,00:00:00,8.682.0000000,8.822.0000000,8.540.0000000,8.636.0000000,828.712
13/10/15,00:00:00,8.636.0000000,8.732.0000000,8.545.0000000,8.574.0000000,704.535
14/10/15,00:00:00,8.579.0000000,8.875.0000000,8.554.0000000,8.805.0000000,786.541
15/10/15,00:00:00,8.832.0000000,9.066.0000000,8.832.0000000,9.035.0000000,826.283
